peak_index,timestamp_sec,audio_peak_score
1,0.96,0.14334527
2,4.32,0.1346764
3,8.64,0.13761443
4,13.44,0.13255413
5,28.32,0.0635598
6,30.72,0.074493356
7,36.0,0.076769546
8,39.839999999999996,0.07550867
9,44.64,0.07640541
10,47.519999999999996,0.07621857
11,52.32,0.07686146
12,55.199999999999996,0.07670407
13,58.559999999999995,0.0687885
14,63.36,0.075950526
15,67.2,0.063400336
16,71.52,0.07651958
17,73.92,0.07664123
18,76.8,0.07625218
19,79.67999999999999,0.07216931
20,83.52,0.07631369
21,87.36,0.07634183
22,90.72,0.069189645
23,93.11999999999999,0.076733954
24,95.52,0.07584079
25,98.88,0.072679766
26,102.24,0.076725036
27,106.56,0.076662995
28,112.8,0.07680601
29,115.67999999999999,0.07665554
30,120.47999999999999,0.07683831
31,123.36,0.07688931
32,126.72,0.07614358
33,129.12,0.07882075
34,132.48,0.07396391
35,134.88,0.075705
36,139.68,0.07577922
37,143.51999999999998,0.076232925
38,146.4,0.0761812
39,149.76,0.07666762
40,154.07999999999998,0.076160274
41,159.84,0.07648971
42,164.16,0.07647796
43,167.04,0.07618623
44,169.92,0.07631886
45,172.79999999999998,0.07681557
46,175.68,0.07278289
47,178.56,0.076137856
48,180.95999999999998,0.076054476
49,183.84,0.07638364
50,187.68,0.075054534
51,191.04,0.07020261
52,194.4,0.077003434
53,197.28,0.07480201
54,201.12,0.07250237
55,203.51999999999998,0.07685618
56,207.84,0.07262905
57,210.72,0.07224393
58,213.12,0.076729186
59,220.79999999999998,0.07615365
60,224.16,0.07477862
61,226.56,0.07503428
62,228.95999999999998,0.067091115
63,233.28,0.06668227
64,236.16,0.076386124
65,241.92,0.07676156
66,247.2,0.07620489
67,251.51999999999998,0.07683078
68,255.35999999999999,0.07633887
69,258.24,0.07658429
70,262.56,0.07669641
71,265.44,0.07311651
72,268.32,0.07660224
73,270.71999999999997,0.07643045
74,273.59999999999997,0.07620663
75,276.48,0.075740665
76,280.32,0.07539539
77,283.2,0.07593686
78,285.59999999999997,0.07171483
79,289.92,0.07640231
80,293.28,0.0765406
81,296.15999999999997,0.07542848
82,299.52,0.07607956
83,303.84,0.076675616
84,306.71999999999997,0.07639141
85,310.56,0.07656609
86,314.88,0.07670018
87,318.24,0.07739316
88,323.52,0.12832132
89,326.4,0.14483596
90,330.71999999999997,0.07678796
91,339.84,0.062756695
92,344.15999999999997,0.07518167
93,348.0,0.07610958
94,353.28,0.076250024
95,357.12,0.070465
96,360.47999999999996,0.07634281
97,362.88,0.07390951
98,365.76,0.07566964
99,371.03999999999996,0.076102406
100,375.36,0.07219172
101,379.68,0.07636463
102,382.56,0.074619524
103,386.88,0.07290931
104,392.64,0.07671261
105,396.47999999999996,0.07428995
106,399.36,0.07641813
107,403.2,0.076752074
108,408.96,0.07663458
109,414.71999999999997,0.07649918
110,417.59999999999997,0.07571663
111,420.0,0.076477654
112,422.4,0.074012846
113,424.8,0.07580262
114,427.2,0.075778715
115,431.03999999999996,0.07780698
116,435.84,0.077041276
117,438.24,0.07466256
118,443.03999999999996,0.07589796
119,446.4,0.074632935
120,449.76,0.07583345
121,454.08,0.07617091
122,456.47999999999996,0.07488484
123,458.88,0.07407768
124,463.2,0.07621263
125,467.03999999999996,0.076001
126,471.35999999999996,0.07638399
127,474.24,0.07606517
128,476.64,0.07036244
129,481.91999999999996,0.07537079
130,484.32,0.0768726
131,487.68,0.07495789
132,490.08,0.07676521
133,493.44,0.07509968
134,495.84,0.07538647
135,498.24,0.076697305
136,504.0,0.0756944
137,509.28,0.0766662
138,513.6,0.07631541
139,516.0,0.07560107
140,520.3199999999999,0.0769205
141,523.68,0.07619126
142,527.04,0.075610705
143,530.4,0.07655647
144,533.28,0.0764413
145,535.68,0.07639199
146,540.48,0.07647373
147,543.36,0.0755307
148,546.24,0.0717229
149,549.12,0.07337402
150,553.4399999999999,0.07319573
151,557.28,0.07469655
152,563.04,0.07645834
153,566.88,0.075466484
154,571.1999999999999,0.07597773
155,574.56,0.0770034
156,578.4,0.076053426
157,581.76,0.12790443
158,585.6,0.14328958
159,589.92,0.14439279
160,594.72,0.14608203
161,597.12,0.14315191
162,600.48,0.14708763
163,603.84,0.14650092
164,607.1999999999999,0.069543675
